Designator,Mid X,Mid Y,Rotation,Layer
C10,131.726054,-91.75,180.0,top
C11,67.14375,-83.2,270.0,top
C12,78.975,-82.7,270.0,top
C13,88.85625,-81.35,270.0,top
C14,97.1375,-80.5,270.0,top
C15,104.26875,-79.9,270.0,top
C6,161.94689,-89.25,180.0,top
C7,150.085151,-90.25,180.0,top
C8,140.13287,-91.1,180.0,top
C9,124.504213,-92.25,180.0,top
D1,183.776,-81.845,270.0,top
D2,177.093,-82.595,270.0,top
D3,198.142,-80.65,90.0,top
D4,206.725,-80.5,90.0,top
D5,159.191128,-79.126413,90.0,top
D6,216.908,-79.25,90.0,top
D7,190.659,-81.8,90.0,top
L1,222.265171,-91.436915,270.0,top
L2,217.679171,-91.766915,270.0,top
L3,212.493171,-92.436915,270.0,top
L4,206.957171,-93.316915,270.0,top
L5,199.971171,-93.236915,270.0,top
L6,191.015171,-93.686915,270.0,top
L7,182.557171,-93.684415,90.0,top
Q1,165.550128,-78.576413,90.0,top
R1,77.1825,-96.305,90.0,top
R2,80.051786,-96.075,90.0,top
R3,83.301071,-95.525,90.0,top
R4,87.030357,-95.325,90.0,top
R5,91.159643,-94.725,90.0,top
R6,99.4825,-93.825,90.0,top
R7,104.2825,-93.175,90.0,top
R8,110.1825,-91.205,90.0,top
R9,94.8825,-94.055,270.0,top
U1,151.627128,-79.126413,0.0,top
U19,259.9,-85.175,0.0,top
U2,124.775128,-81.826413,270.0,top
U20,143.518128,-79.301413,180.0,top
U3,134.959128,-79.676413,270.0,top
