Designator,Footprint,Quantity,Value,LCSC Part #
"C1, L8, R1",0201,3,0201,
C10,CP_Radial_D5.0mm_P2.00mm,1,5,
C11,CP_Elec_10x10.5,1,10,
C12,CP_Elec_8x10.5,1,8,
C13,CP_Elec_6.3x5.9,1,6,
C14,CP_Elec_5x5.7,1,5,
C15,CP_Elec_4x5.3,1,4,
"C16, L12, R5",1206,3,1206,
"C17, L2",1210,2,1210,
C18,1808,1,1808,
"C19, L3, R9",1812,3,1812,
"C2, L9, R2",0402,3,0402,
C20,1825,1,1825,
C21,2220,1,2220,
C22,2225,1,2225,
C23,3640,1,3640,
C24,CP_Elec_3x5.4,1,3,
C25,CP_Radial_D7.5mm_P2.50mm,1,7.5,
C3,0504,1,0504,
"C4, L10, R3",0603,3,0603,
"C5, L11, R4",0805,3,0805,
C6,CP_Radial_D10.0mm_P5.00mm,1,10,
C7,CP_Radial_D8.0mm_P3.50mm,1,8,
C8,CP_Radial_D6.3mm_P2.50mm,1,6.3,
C9,CP_Radial_D4.0mm_P2.00mm,1,4,
D1,D_SOD-123,1,1N4148W,
D2,D_SOD-323,1,1N4148WS,
D3,D_SMA,1,SMAJ5.0A,
D4,D_SMB,1,Z2SMBxxx,
D5,SOT-323_SC-70,1,BAS16W,
D6,D_SMC,1,1.5SMCxxA,
D7,D_SMF,1,SMF5V0A,
L1,1008,1,1008,
L13,1806,1,1806,
"L14, R6",2010,2,2010,
"L4, R7",2512,2,2512,
L5,L_6.3x6.3_H3,1,6.3x6.3,
L6,L_7.3x7.3_H4.5,1,7.3x7.3,
L7,L_10.4x10.4_H4.8,1,10.4x10.4,
Q1,SOT-523,1,DMG1012T,
R10,0508,1,0508,
R11,0612,1,0612,
R12,0815,1,0815,
R13,1020,1,1020,
R14,1218,1,1218,
R15,1225,1,1225,
R16,2816,1,2816,
R8,4020,1,4020,
U1,SOT-23-5,1,LP2985-1.8,
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,IRS2092S,
U11,TSSOP-8_4.4x3mm_P0.65mm,1,INA240A1PW,
U12,TSSOP-14_4.4x5mm_P0.65mm,1,74AHCV17APW,
U13,TSSOP-16_4.4x5mm_P0.65mm,1,XPT2046TS,
U14,TSSOP-20_4.4x6.5mm_P0.65mm,1,INA253,
U15,TQFP-32_7x7mm_P0.8mm,1,ATmega8U2-A,
U16,LQFP-64_10x10mm_P0.5mm,1,AD7606,
U17,QFN-48-1EP_7x7mm_P0.5mm_EP5.45x5.45mm,1,THAT6261,
U18,UFBGA-64_5x5mm_Layout8x8_P0.5mm,1,STM32F072RBIx,
U19,BGA-484_23.0x23.0mm_Layout22x22_P1.0mm,1,FU540-C000,
U2,SOT-223-3_TabPin2,1,LM317_SOT-223,
U20,SOT-23-6,1,INA181,
U21,DFN-6-1EP_2x2mm_P0.5mm_EP0.6x1.37mm,1,LTC6226xDC,
U22,QFN-64-1EP_9x9mm_P0.5mm_EP7.15x7.15mm,1,LTC2294xUP,
U23,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,1,LTC6269xDD,
U24,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,WM8731CLSEFL,
U25,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,1,BQ25570,
U26,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm,1,IS31FL3733-TQ,
U27,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,
U28,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74CB3Q3384APW,
U29,SOIC-20W_7.5x12.8mm_P1.27mm,1,AD630ARZ,
U3,SOT-89-3,1,LM317L_SOT-89,
U4,DFN-8-1EP_3x3mm_P0.5mm_EP1.66x2.38mm,1,LTC6362xDD,
U5,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,PAM8908,
U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,CS4265,
U7,HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,iC-HTG,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD255D,
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC4024,
